,bitstamp:/USD-BTC,bitstamp:/USD:/free,bitstamp:/USD:/locked,bitstamp:/USD:/total,bitstamp:/BTC:/free,bitstamp:/BTC:/locked,bitstamp:/BTC:/total,bitstamp:/BTC:/worth,net_worth,base_symbol
212,7584.02,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
213,7613.52,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
214,7733.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
215,7691.78,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
216,7650.22,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
217,7567.1,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
218,7411.24,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
219,7373.51,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
220,7354.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
221,7375.56,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
222,7508.78,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
223,7499.94,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
224,7508.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
225,7566.92,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
226,7518.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
227,7524.49,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
228,7586.42,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
229,7585.48,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
230,7550.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
231,7538.55,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
232,7584.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
233,7586.88,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
234,7560.55,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
235,7563.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
236,7632.98,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
237,7600.8,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
238,7588.75,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
239,7625.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
240,7510.95,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
241,7421.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
242,7466.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
243,7419.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
244,7362.71,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
245,7456.83,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
246,7509.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
247,7482.99,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
248,7477.73,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
249,7500.0,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
250,7479.95,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
251,7426.2,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
252,7424.27,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
253,7427.02,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
254,7455.49,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
255,7441.7,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
256,7405.44,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
257,7471.18,10113.86,0.0,10113.86,0.0,0.0,0.0,0.0,10113.86,USD
